channel;function;factor;note;fn;src0;op0;src1;op1;src2;op2;src3;op3;generator;fn2;src4;op4;src5;op5;src6;op6;src7;op7
color;GR_COMBINE_FUNCTION_ZERO;*;0;replace;previous;c;;;;;;;;;;;;;;;;
color;GR_COMBINE_FUNCTION_LOCAL;*;C_local;replace;texture;c;;;;;;;;;;;;;;;;
color;GR_COMBINE_FUNCTION_LOCAL_ALPHA;*;A_local;replace;texture;a;;;;;;;;;;;;;;;;
color;GR_COMBINE_FUNCTION_SCALE_OTHER;GR_COMBINE_FACTOR_ZERO;0;replace;previous;c;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL;c_other*c_local;modulate;previous;c;texture;c;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_OTHER_ALPHA;c_other*a_other;modulate;previous;c;previous;a;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL_ALPHA;c_other*a_local;modulate;previous;c;texture;a;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_DETAIL_FACTOR;beta;modulate;previous;c;constant;c;;;;;beta;;;;;;;;;
;;GR_COMBINE_FACTOR_LOD_FRACTION;labda;modulate;previous;c;constant;c;;;;;lambda;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE;c_other;replace;previous;c;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL;c_other*(1-c_local);modulate;previous;c;texture;1-c;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_OTHER_ALPHA;c_other*(1-a_other);modulate;previous;c;previous;1-c;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL_ALPHA;c_other*(1-a_local);modulate;previous;c;texture;1-a;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_DETAIL_FACTOR;c_other*(1-beta);modulate;previous;c;constant;1-c;;;;;beta;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOD_FRACTION;c_other*(1-labda);modulate;previous;c;constant;1-c;;;;;lambda;;;;;;;;;
color;GR_COMBINE_FUNCTION_SCALE_OTHER_ADD_LOCAL;GR_COMBINE_FACTOR_ZERO;c_local;replace;previous;c;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL;c_local*c_other + c_local;modulate;texture;c;previous;c;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_OTHER_ALPHA;a_other*c_other + c_local;add4;previous;a;previous;c;texture;c;zero;1-c;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL_ALPHA;a_local*c_other + c_local;modulate;texture;a;previous;c;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_DETAIL_FACTOR;beta*c_other + c_local;add4;constant;c;previous;c;texture;c;zero;1-c;beta;;;;;;;;;
;;GR_COMBINE_FACTOR_LOD_FRACTION;labda*c_other + c_local;add4;constant;c;previous;c;texture;c;zero;1-c;lambda;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE;c_other+ c_local;modulate;previous;c;texture;c;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL;(1-c_local)*c_other + c_local;add4;texture;1-c;previous;c;texture;c;zero;1-c;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_OTHER_ALPHA;(1-a_other)*c_other + c_local;add4;previous;a;previous;c;texture;c;zero;1-c;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL_ALPHA;(1-a_local)*c_other + c_local;add4;texture;1-a;previous;c;texture;c;zero;1-c;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_DETAIL_FACTOR;(1-beta)*c_other + c_local;add4;constant;1-c;previous;c;texture;c;zero;1-c;beta;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOD_FRACTION;(1-labda)*c_other + c_local;add4;constant;1-c;previous;c;texture;c;zero;1-c;lambda;;;;;;;;;
color;GR_COMBINE_FUNCTION_SCALE_OTHER_ADD_LOCAL_ALPHA;GR_COMBINE_FACTOR_ZERO;a_local;replace;previous;c;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL;c_local*c_other + a_local;add4;texture;c;previous;c;texture;a;zero;1-c;;;;;;;;;;
;;GR_COMBINE_FACTOR_OTHER_ALPHA;a_other*c_other + a_local;add4;previous;a;previous;c;texture;a;zero;1-c;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL_ALPHA;a_local*c_other + a_local;add4;texture;a;previous;c;texture;a;zero;1-c;;;;;;;;;;
;;GR_COMBINE_FACTOR_DETAIL_FACTOR;beta*c_other + a_local;add4;constant;c;previous;c;texture;a;zero;1-c;beta;;;;;;;;;
;;GR_COMBINE_FACTOR_LOD_FRACTION;labda*c_other + a_local;add4;constant;c;previous;c;texture;a;zero;1-c;lambda;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE;c_other+ a_local;add;previous;c;texture;a;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL;(1-c_local)*c_other + a_local;add4;texture;1-c;previous;c;texture;a;zero;1-c;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_OTHER_ALPHA;(1-a_other)*c_other + a_local;add4;previous;a;previous;c;texture;a;zero;1-c;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL_ALPHA;(1-a_local)*c_other + a_local;add4;texture;1-a;previous;c;texture;a;zero;1-c;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_DETAIL_FACTOR;(1-beta)*c_other + a_local;add4;constant;1-c;previous;c;texture;a;zero;1-c;beta;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOD_FRACTION;(1-labda)*c_other + a_local;add4;constant;1-c;previous;c;texture;a;zero;1-c;lambda;;;;;;;;;
color;GR_COMBINE_FUNCTION_SCALE_OTHER_MINUS_LOCAL;GR_COMBINE_FACTOR_ZERO;0;replace;previous;c;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_OTHER_ALPHA;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL_ALPHA;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_DETAIL_FACTOR;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOD_FRACTION;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE;C_other-C_local;subtract;previous;c;texture;c;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_OTHER_ALPHA;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL_ALPHA;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_DETAIL_FACTOR;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOD_FRACTION;;invalid;;;;;;;;;;;;;;;;;;
color;GR_COMBINE_FUNCTION_SCALE_OTHER_MINUS_LOCAL_ADD_LOCAL;GR_COMBINE_FACTOR_ZERO;c_local;replace;texture;c;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL;c_local*c_other + (1-c_local)*c_local;add4;texture;c;previous;c;texture;1-c;texture;c;;;;;;;;;;
;;GR_COMBINE_FACTOR_OTHER_ALPHA;a_other*c_other+(1-a_other)*c_local;add4;texture;a;previous;c;previous;1-a;texture;c;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL_ALPHA;a_local*c_other+(1-a_local)*c_local;add4;texture;a;previous;c;texture;1-a;texture;c;;;;;;;;;;
;;GR_COMBINE_FACTOR_DETAIL_FACTOR;beta*c_other+(1-beta)*c_local;add4;constant;c;previous;c;constant;1-c;texture;c;beta;;;;;;;;;
;;GR_COMBINE_FACTOR_LOD_FRACTION;lambda*c_other+(1-delta)*c_local;add4;constant;c;previous;c;constant;1-c;texture;c;lambda;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE;c_other;replace;previous;c;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL;(1-c_local)*c_other + c_local*c_local;add4;previous;1-c;previous;c;texture;c;texture;c;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_OTHER_ALPHA;(1-a_other)*c_other + a_other*c_local;add4;previous;1-a;previous;c;previous;a;texture;c;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL_ALPHA;(1-a_local)*c_other + a_local*c_local;add4;texture;1-a;previous;c;texture;a;texture;c;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_DETAIL_FACTOR;(1-beta)*c_other + beta*c_local;add4;constant;1-c;previous;c;constant;c;texture;c;beta;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOD_FRACTION;(1-lambda)*c_other + delta*c_local;add4;constant;1-c;previous;c;constant;c;texture;c;lambda;;;;;;;;;
color;GR_COMBINE_FUNCTION_SCALE_OTHER_MINUS_LOCAL_ADD_LOCAL_ALPHA;GR_COMBINE_FACTOR_ZERO;a_local;replace;texture;a;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_OTHER_ALPHA;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL_ALPHA;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_DETAIL_FACTOR;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOD_FRACTION;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE;c_other;replace;previous;c;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_OTHER_ALPHA;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL_ALPHA;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_DETAIL_FACTOR;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOD_FRACTION;;invalid;;;;;;;;;;;;;;;;;;
color;GR_COMBINE_FUNCTION_SCALE_MINUS_LOCAL_ADD_LOCAL;GR_COMBINE_FACTOR_ZERO;c_local;replace;texture;c;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL;(1-c_local)*c_local;modulate;texture;1-c;texture;c;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_OTHER_ALPHA;(1-a_other)*c_local;modulate;previous;1-a;texture;c;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL_ALPHA;(1-a_local)*c_local;modulate;texture;1-a;texture;c;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_DETAIL_FACTOR;(1-beta)*c_local;modulate;constant;1-c;texture;c;;;;;beta;;;;;;;;;
;;GR_COMBINE_FACTOR_LOD_FRACTION;(1-lambda)*c_local;modulate;constant;1-c;texture;c;;;;;lambda;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE;0;replace;previous;c;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL;c_local*c_local;modulate;texture;c;texture;c;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_OTHER_ALPHA;a_other*c_local;modulate;previous;a;texture;c;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL_ALPHA;a_local*c_local;modulate;texture;a;texture;c;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_DETAIL_FACTOR;beta*c_local;modulate;constant;c;texture;c;;;;;beta;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOD_FRACTION;lambda*c_local;modulate;constant;c;texture;c;;;;;lambda;;;;;;;;;
color;GR_COMBINE_FUNCTION_SCALE_MINUS_LOCAL_ADD_LOCAL_ALPHA;GR_COMBINE_FACTOR_ZERO;a_local;replace;texture;a;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_OTHER_ALPHA;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL_ALPHA;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_DETAIL_FACTOR;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOD_FRACTION;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE;0;replace;texture;c;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_OTHER_ALPHA;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL_ALPHA;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_DETAIL_FACTOR;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOD_FRACTION;;invalid;;;;;;;;;;;;;;;;;;
alpha;GR_COMBINE_FUNCTION_ZERO;*;0;replace;previous;a;;;;;;;;;;;;;;;;
alpha;GR_COMBINE_FUNCTION_LOCAL;*;a_local;replace;texture;a;;;;;;;;;;;;;;;;
alpha;GR_COMBINE_FUNCTION_LOCAL_ALPHA;*;a_local;replace;texture;a;;;;;;;;;;;;;;;;
alpha;GR_COMBINE_FUNCTION_SCALE_OTHER;GR_COMBINE_FACTOR_ZERO;0;replace;previous;a;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL;a_local*a_other;modulate;texture;a;previous;a;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_OTHER_ALPHA;a_other*a_other;modulate;previous;a;previous;a;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL_ALPHA;a_local*a_other;modulate;texture;a;previous;a;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_DETAIL_FACTOR;beta*a_other;modulate;constant;a;previous;a;;;;;beta;;;;;;;;;
;;GR_COMBINE_FACTOR_LOD_FRACTION;lambda*a_other;modulate;constant;a;previous;a;;;;;lambda;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE;a_other;replace;previous;a;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL;(1-a_local)*a_other;modulate;texture;1-a;previous;a;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_OTHER_ALPHA;(1-a_other)*a_other;modulate;previous;1-a;previous;a;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL_ALPHA;(1-a_local)*a_other;modulate;texture;1-a;previous;a;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_DETAIL_FACTOR;(1-beta)*a_other;modulate;constant;1-a;previous;a;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOD_FRACTION;(1-lambda)*a_other;modulate;constant;1-a;previous;a;;;;;;;;;;;;;;
alpha;GR_COMBINE_FUNCTION_SCALE_OTHER_ADD_LOCAL;GR_COMBINE_FACTOR_ZERO;a_local;replace;texture;a;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL;a_local*a_other + a_local;add4;texture;a;previous;a;texture;a;zero;1-a;;;;;;;;;;
;;GR_COMBINE_FACTOR_OTHER_ALPHA;a_other*a_other + a_local;add4;previous;a;previous;a;texture;a;zero;1-a;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL_ALPHA;a_local*a_other + a_local;add4;texture;a;previous;a;texture;a;zero;1-a;;;;;;;;;;
;;GR_COMBINE_FACTOR_DETAIL_FACTOR;beta*a_other + a_local;add4;constant;a;previous;a;texture;a;zero;1-a;beta;;;;;;;;;
;;GR_COMBINE_FACTOR_LOD_FRACTION;lambda*a_other + a_local;add4;constant;a;previous;a;texture;a;zero;1-a;lambda;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE;a_other * a_local;modulate;previous;a;texture;a;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL;(1-a_local)*a_other + a_local;add4;texture;1-a;previous;a;texture;a;zero;1-a;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_OTHER_ALPHA;(1-a_other)*a_other + a_local;add4;previous;1-a;previous;a;texture;a;zero;1-a;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL_ALPHA;(1-a_local)*a_other + a_local;add4;texture;1-a;previous;a;texture;a;zero;1-a;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_DETAIL_FACTOR;(1-beta)*a_other + a_local;add4;constant;1-a;previous;a;texture;a;zero;1-a;beta;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOD_FRACTION;(1-lambda)*a_other + a_local;add4;constant;1-a;previous;a;texture;a;zero;1-a;lambda;;;;;;;;;
alpha;GR_COMBINE_FUNCTION_SCALE_OTHER_MINUS_LOCAL;GR_COMBINE_FACTOR_ZERO;0;replace;previous;a;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_OTHER_ALPHA;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL_ALPHA;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_DETAIL_FACTOR;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOD_FRACTION;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE;a_other - a_local;subtract;previous;a;texture;a;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_OTHER_ALPHA;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL_ALPHA;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_DETAIL_FACTOR;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOD_FRACTION;;invalid;;;;;;;;;;;;;;;;;;
alpha;GR_COMBINE_FUNCTION_SCALE_OTHER_MINUS_LOCAL_ADD_LOCAL;GR_COMBINE_FACTOR_ZERO;a_local;replace;texture;a;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL;a_local*a_other + (1-a_local)*a_local;add4;texture;a;previous;a;texture;1-a;texture;a;;;;;;;;;;
;;GR_COMBINE_FACTOR_OTHER_ALPHA;a_other*a_other + (1-a_other)*a_local;add4;previous;a;previous;a;previous;1-a;texture;a;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL_ALPHA;a_local*a_other + (1-a_local)*a_local;add4;texture;a;previous;a;texture;1-a;texture;a;;;;;;;;;;
;;GR_COMBINE_FACTOR_DETAIL_FACTOR;beta*a_other + (1-beta)*a_local;add4;constant;a;previous;a;constant;1-a;texture;a;beta;;;;;;;;;
;;GR_COMBINE_FACTOR_LOD_FRACTION;lambda*a_other + (1-lambda)*a_local;add4;constant;a;previous;a;constant;1-a;texture;a;lambda;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE;a_other;replace;previous;a;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL;(1-a_local)*a_other+a_local*a_local;add4;texture;1-a;previous;a;texture;a;texture;a;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_OTHER_ALPHA;(1-a_other)*a_other + a_other*a_alocal;add4;previous;1-a;previous;a;previous;a;texture;a;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL_ALPHA;(1-a_local)*a_other+a_local*a_local;add4;previous;1-a;previous;a;previous;a;texture;a;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_DETAIL_FACTOR;(1-beta)*a_other+beta*a_local;add4;constant;1-a;previous;a;previous;a;texture;a;beta;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOD_FRACTION;(1-lambda)*a_other+lambda*a_local;add4;constant;1-a;previous;a;previous;a;texture;a;lambda;;;;;;;;;
alpha;GR_COMBINE_FUNCTION_SCALE_OTHER_MINUS_LOCAL_ADD_LOCAL_ALPHA;GR_COMBINE_FACTOR_ZERO;a_local;replace;texture;a;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_OTHER_ALPHA;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL_ALPHA;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_DETAIL_FACTOR;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOD_FRACTION;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE;a_other;replace;previous;a;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_OTHER_ALPHA;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL_ALPHA;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_DETAIL_FACTOR;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOD_FRACTION;;invalid;;;;;;;;;;;;;;;;;;
alpha;GR_COMBINE_FUNCTION_SCALE_MINUS_LOCAL_ADD_LOCAL;GR_COMBINE_FACTOR_ZERO;a_local;replace;texture;a;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL;(1-a_local)*a_local;modulate;texture;1-a;texture;a;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_OTHER_ALPHA;(1-a_other)*a_local;modulate;previous;1-a;texture;a;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL_ALPHA;(1-a_local)*a_local;modulate;texture;1-a;texture;a;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_DETAIL_FACTOR;(1-beta)*a_local;modulate;constant;1-a;texture;a;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOD_FRACTION;(1-lambda)*a_local;modulate;constant;1-a;texture;a;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE;0;replace;previous;a;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL;a_local*a_local;modulate;texture;a;texture;a;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_OTHER_ALPHA;a_other*a_local;modulate;previous;a;texture;a;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL_ALPHA;a_local*a_local;modulate;texture;a;texture;a;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_DETAIL_FACTOR;beta*a_local;modulate;constant;a;texture;a;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOD_FRACTION;lambda*a_local;modulate;constant;a;texture;a;;;;;;;;;;;;;;
alpha;GR_COMBINE_FUNCTION_SCALE_MINUS_LOCAL_ADD_LOCAL_ALPHA;GR_COMBINE_FACTOR_ZERO;0;replace;previous;a;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_OTHER_ALPHA;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOCAL_ALPHA;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_DETAIL_FACTOR;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_LOD_FRACTION;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE;0;replace;previous;a;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_OTHER_ALPHA;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOCAL_ALPHA;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_DETAIL_FACTOR;;invalid;;;;;;;;;;;;;;;;;;
;;GR_COMBINE_FACTOR_ONE_MINUS_LOD_FRACTION;;invalid;;;;;;;;;;;;;;;;;;
